Class, Methods, Cyclomatic Complexity, Parameters
org.apache.commons.collections4.SortedBag,  Comparator<? super E> comparator(), 1, none
org.apache.commons.collections4.SortedBag,  E first(), 1, none
org.apache.commons.collections4.SortedBag,  E last(), 1, none
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> emptyIterator(), 1, none
org.apache.commons.collections4.IteratorUtils, public static ResettableListIterator<E> emptyListIterator(), 1, none
org.apache.commons.collections4.IteratorUtils, public static OrderedIterator<E> emptyOrderedIterator(), 1, none
org.apache.commons.collections4.IteratorUtils, public static MapIterator<K, V> emptyMapIterator(), 1, none
org.apache.commons.collections4.IteratorUtils, public static OrderedMapIterator<K, V> emptyOrderedMapIterator(), 1, none
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> singletonIterator(final E object), 1, E/
org.apache.commons.collections4.IteratorUtils, public static ListIterator<E> singletonListIterator(final E object), 1, E/
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> arrayIterator(final E... array), 1, E/
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> arrayIterator(final Object array), 1, Object/
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> arrayIterator(final E[] array, final int start), 1, E[]/int/
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> arrayIterator(final Object array, final int start), 1, Object/int/
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> arrayIterator(final E[] array, final int start, final int end), 1, E[]/int/int/
org.apache.commons.collections4.IteratorUtils, public static ResettableIterator<E> arrayIterator(final Object array, final int start, final int end), 1, Object/int/int/
org.apache.commons.collections4.IteratorUtils, public static ResettableListIterator<E> arrayListIterator(final E... array), 1, E/
org.apache.commons.collections4.IteratorUtils, public static ResettableListIterator<E> arrayListIterator(final Object array), 1, Object/
org.apache.commons.collections4.IteratorUtils, public static ResettableListIterator<E> arrayListIterator(final E[] array, final int start), 1, E[]/int/
org.apache.commons.collections4.IteratorUtils, public static ResettableListIterator<E> arrayListIterator(final Object array, final int start), 1, Object/int/
org.apache.commons.collections4.IteratorUtils, public static ResettableListIterator<E> arrayListIterator(final E[] array, final int start, final int end), 1, E[]/int/int/
org.apache.commons.collections4.IteratorUtils, public static ResettableListIterator<E> arrayListIterator(final Object array, final int start, final int end), 1, Object/int/int/
org.apache.commons.collections4.IteratorUtils, public static BoundedIterator<E> boundedIterator(final Iterator<? extends E> iterator, final long max), 1, Iterator<? extends E>/long/
org.apache.commons.collections4.IteratorUtils, public static BoundedIterator<E> boundedIterator(final Iterator<? extends E> iterator, final long offset, final long max), 1, Iterator<? extends E>/long/long/
org.apache.commons.collections4.IteratorUtils, public static Iterator<E> unmodifiableIterator(final Iterator<E> iterator), 1, Iterator<E>/
org.apache.commons.collections4.IteratorUtils, public static ListIterator<E> unmodifiableListIterator(final ListIterator<E> listIterator), 1, ListIterator<E>/
org.apache.commons.collections4.IteratorUtils, public static MapIterator<K, V> unmodifiableMapIterator(final MapIterator<K, V> mapIterator), 1, MapIterator<K,V>/
org.apache.commons.collections4.IteratorUtils, public static Iterator<E> chainedIterator(final Iterator<? extends E> iterator1, final Iterator<? extends E> iterator2), 1, Iterator<? extends E>/Iterator<? extends E>/
org.apache.commons.collections4.IteratorUtils, public static Iterator<E> chainedIterator(final Iterator<? extends E>... iterators), 1, Iterator<? extends E>/
