Class, Methods, Cyclomatic Complexity, Parameters
org.apache.commons.math4.userguide.ExampleUtils, private static BufferedImage getScreenShot(Component component), 1, Component/
org.apache.commons.math4.userguide.ExampleUtils, public static BufferedImage resizeImage(BufferedImage originalImage, int width, int height, int type) throws IOException, 1, BufferedImage/int/int/int/
org.apache.commons.math4.userguide.ExampleUtils, org.apache.commons.math4.userguide.ExampleUtils.ExampleFrame, 1, 1/public Component getMainPanel()/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, public static List<Vector2D> makeCircles(int samples, boolean shuffle, double noise, double factor, UniformRandomProvider rng), 4, int/boolean/double/double/UniformRandomProvider/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, public static List<Vector2D> makeMoons(int samples, boolean shuffle, double noise, UniformRandomProvider rng), 4, int/boolean/double/UniformRandomProvider/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, public static List<Vector2D> makeBlobs(int samples, int centers, double clusterStd, double min, double max, boolean shuffle, UniformRandomProvider rng), 6, int/int/double/double/double/boolean/UniformRandomProvider/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, public static List<Vector2D> makeRandom(int samples), 2, int/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, public static Vector2D generateNoiseVector(ContinuousDistribution.Sampler distribution), 1, ContinuousDistribution.Sampler/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, public static List<DoublePoint> normalize(final List<Vector2D> input, double minX, double maxX, double minY, double maxY), 1, List<Vector2D>/double/double/double/double/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, public static void main(String[] args), 1, String[]/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison, org.apache.commons.math4.userguide.ClusterAlgorithmComparison.Display, 1, none
org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, protected void paintComponent(Graphics g), 1, Graphics/
org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, public Dimension getPreferredSize(), 1, none
org.apache.commons.math4.userguide.ClusterAlgorithmComparison.ClusterPlot, private Clusterable transform(Clusterable point, int width, int height), 1, Clusterable/int/int/
org.apache.commons.math4.userguide.filter.ConstantVoltageExample, public static void constantVoltageTest(Chart chart1, Chart chart2), 2, Chart/Chart/
org.apache.commons.math4.userguide.filter.ConstantVoltageExample, public static Chart createChart(String title, int width, int height, LegendPosition position, boolean legendVisible), 1, String/int/int/LegendPosition/boolean/
org.apache.commons.math4.userguide.filter.ConstantVoltageExample, public static JComponent createComponent(), 1, none
org.apache.commons.math4.userguide.filter.ConstantVoltageExample, public static void main(String[] args), 1, String[]/
org.apache.commons.math4.userguide.filter.ConstantVoltageExample, org.apache.commons.math4.userguide.filter.ConstantVoltageExample.VoltMeter, 1, 1/public double getVoltage()/1/public double getMeasuredVoltage()/1/public void step()/
org.apache.commons.math4.userguide.filter.ConstantVoltageExample.Display, public Component getMainPanel(), 1, none
org.apache.commons.math4.userguide.filter.CannonballExample, public static void cannonballTest(Chart chart), 2, Chart/
org.apache.commons.math4.userguide.filter.CannonballExample, public static Chart createChart(String title, LegendPosition position), 1, String/LegendPosition/
org.apache.commons.math4.userguide.filter.CannonballExample, public static JComponent createComponent(), 1, none
org.apache.commons.math4.userguide.filter.CannonballExample, public static void main(String[] args), 1, String[]/
org.apache.commons.math4.userguide.filter.CannonballExample, org.apache.commons.math4.userguide.filter.CannonballExample.Cannonball, 1, 1/public double getX()/1/public double getY()/1/public double getMeasuredX()/1/public double getMeasuredY()/1/public double getXVelocity()/1/public double getYVelocity()/4/public void step()/
org.apache.commons.math4.userguide.filter.CannonballExample.Display, public Component getMainPanel(), 1, none
