"Package","Class Name","TCC value"
"org.apache.commons.collections4.functors","ExceptionTransformer","0.3333333333333333"
"org.apache.commons.collections4.functors","FactoryTransformer","0.3333333333333333"
"org.apache.commons.collections4.functors","FalsePredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","ForClosure","0.3333333333333333"
"org.apache.commons.collections4.functors",,
"org.apache.commons.collections4.functors","IdentityPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","IfClosure","0.2"
"org.apache.commons.collections4.functors","IfTransformer","0.2"
"org.apache.commons.collections4.functors","InstanceofPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","InstantiateFactory","0.3333333333333333"
"org.apache.commons.collections4.functors","InstantiateTransformer","0.0"
"org.apache.commons.collections4.functors","InvokerTransformer","0.0"
"org.apache.commons.collections4.functors","MapTransformer","0.3333333333333333"
"org.apache.commons.collections4.functors","NonePredicate","0.0"
"org.apache.commons.collections4.functors","NOPClosure","0.3333333333333333"
"org.apache.commons.collections4.functors","NOPTransformer","0.3333333333333333"
"org.apache.commons.collections4.functors","NotNullPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","NotPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","NullIsExceptionPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","NullIsFalsePredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","NullIsTruePredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","NullPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","OnePredicate","0.0"
"org.apache.commons.collections4.functors","OrPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","PredicateDecorator","0.0"
"org.apache.commons.collections4.functors","PredicateTransformer","0.3333333333333333"
"org.apache.commons.collections4.functors","PrototypeFactory","0.0"
"org.apache.commons.collections4.functors","StringValueTransformer","0.3333333333333333"
"org.apache.commons.collections4.functors","SwitchClosure","0.2"
"org.apache.commons.collections4.functors","SwitchTransformer","0.2"
"org.apache.commons.collections4.functors","TransformedPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","TransformerClosure","0.3333333333333333"
"org.apache.commons.collections4.functors","TransformerPredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","TruePredicate","0.3333333333333333"
"org.apache.commons.collections4.functors","UniquePredicate","0.0"
"org.apache.commons.collections4.functors","WhileClosure","0.3"
"org.apache.commons.collections4","Get","0.0"
"org.apache.commons.collections4","IterableGet","0.0"
"org.apache.commons.collections4","IterableMap","0.0"
"org.apache.commons.collections4","IterableSortedMap","0.0"
"org.apache.commons.collections4","IterableUtils","0.0"
"org.apache.commons.collections4.iterators",,
"org.apache.commons.collections4.iterators","AbstractEmptyMapIterator","0.0"
"org.apache.commons.collections4.iterators","AbstractIteratorDecorator","0.0"
"org.apache.commons.collections4.iterators","AbstractListIteratorDecorator","1.0"
"org.apache.commons.collections4.iterators","AbstractMapIteratorDecorator","1.0"
"org.apache.commons.collections4.iterators","AbstractOrderedMapIteratorDecorator","1.0"
"org.apache.commons.collections4.iterators","AbstractUntypedIteratorDecorator","1.0"
"org.apache.commons.collections4.iterators","ArrayIterator","0.21428571428571427"
"org.apache.commons.collections4.iterators","ArrayListIterator","0.21428571428571427"
"org.apache.commons.collections4.iterators","BoundedIterator","0.9"
"org.apache.commons.collections4.iterators","CollatingIterator","0.4166666666666667"
"org.apache.commons.collections4.iterators","EmptyIterator","0.0"
"org.apache.commons.collections4.iterators","EmptyListIterator","0.0"
"org.apache.commons.collections4.iterators","EmptyMapIterator","0.0"
"org.apache.commons.collections4.iterators","EmptyOrderedIterator","0.0"
"org.apache.commons.collections4.iterators","EmptyOrderedMapIterator","0.0"
"org.apache.commons.collections4.iterators","EntrySetMapIterator","0.8571428571428571"
"org.apache.commons.collections4.iterators","EnumerationIterator","0.7"
"org.apache.commons.collections4.iterators","FilterIterator","0.7142857142857143"
"org.apache.commons.collections4.iterators","FilterListIterator","0.25735294117647056"
"org.apache.commons.collections4.iterators","IteratorChain","0.3333333333333333"
"org.apache.commons.collections4.iterators","IteratorEnumeration","1.0"
"org.apache.commons.collections4.iterators","IteratorIterable","1.0"
"org.apache.commons.collections4.iterators","LazyIteratorChain","0.6"
"org.apache.commons.collections4.iterators","ListIteratorWrapper","1.0"
"org.apache.commons.collections4.iterators","LoopingIterator","0.8"
"org.apache.commons.collections4.iterators","LoopingListIterator","0.696969696969697"
"org.apache.commons.collections4.iterators","NodeListIterator","0.3333333333333333"
"org.apache.commons.collections4.iterators","ObjectArrayIterator","0.2857142857142857"
"org.apache.commons.collections4.iterators","ObjectArrayListIterator","0.21428571428571427"
"org.apache.commons.collections4.iterators","ObjectGraphIterator","0.7333333333333333"
"org.apache.commons.collections4.iterators","PeekingIterator","0.8095238095238095"
